timestamp,n_estimators,max_depth,min_samples_split,fold,mean_acc,mean_f1,mean_time
2025-10-31 16:21:41,20,20,5,10,0.8394,0.8289,36.85
2025-10-31 16:22:16,20,20,10,1,0.8505,0.8584,35.59
2025-10-31 16:22:51,20,20,10,2,0.8711,0.8675,34.3
2025-10-31 16:23:28,20,20,10,3,0.8454,0.8368,37.07
2025-10-31 16:24:06,20,20,10,4,0.8351,0.8372,38.68
2025-10-31 16:24:45,20,20,10,5,0.8402,0.8239,38.16
2025-10-31 16:25:22,20,20,10,6,0.8969,0.8974,37.46
2025-10-31 16:26:00,20,20,10,7,0.886,0.8942,37.57
2025-10-31 16:26:38,20,20,10,8,0.8187,0.8016,37.98
2025-10-31 16:27:16,20,20,10,9,0.829,0.842,38.76
2025-10-31 16:27:56,20,20,10,10,0.8187,0.8082,39.72
2025-10-31 16:28:29,30,5,2,1,0.7474,0.7488,32.89
2025-10-31 16:29:00,30,5,2,2,0.8351,0.8056,31.37
2025-10-31 16:29:35,30,5,2,3,0.8041,0.7812,34.28
2025-10-31 16:30:09,30,5,2,4,0.7835,0.7742,33.97
2025-10-31 16:30:45,30,5,2,5,0.7784,0.7466,35.81
2025-10-31 16:31:19,30,5,2,6,0.7938,0.7801,34.08
2025-10-31 16:31:52,30,5,2,7,0.7617,0.7544,33.39
2025-10-31 16:32:23,30,5,2,8,0.7306,0.6778,30.85
2025-10-31 16:32:53,30,5,2,9,0.7772,0.7726,30.27
2025-10-31 16:33:25,30,5,2,10,0.8083,0.7838,31.89
