timestamp,max_depth,min_samples_split,fold,acc,f1,time
2025-10-30 21:09:03,10,10,7,0.8135,0.8058,0.02
2025-10-30 21:09:03,10,10,8,0.7876,0.7864,0.02
2025-10-30 21:09:03,10,10,9,0.8238,0.8198,0.02
2025-10-30 21:09:03,10,10,10,0.8549,0.8523,0.02
2025-10-30 21:09:03,13,2,1,0.7938,0.7894,0.02
2025-10-30 21:09:03,13,2,2,0.8505,0.8525,0.02
2025-10-30 21:09:03,13,2,3,0.8505,0.8492,0.03
2025-10-30 21:09:03,13,2,4,0.8402,0.8381,0.02
2025-10-30 21:09:03,13,2,5,0.8247,0.8203,0.02
2025-10-30 21:09:03,13,2,6,0.8351,0.8331,0.02
2025-10-30 21:09:03,13,2,7,0.8497,0.8461,0.02
2025-10-30 21:09:03,13,2,8,0.8497,0.8478,0.02
2025-10-30 21:09:03,13,2,9,0.829,0.8272,0.02
2025-10-30 21:09:03,13,2,10,0.8549,0.8524,0.02
2025-10-30 21:09:03,13,5,1,0.7835,0.7756,0.02
2025-10-30 21:09:03,13,5,2,0.8505,0.8523,0.03
2025-10-30 21:09:03,13,5,3,0.8351,0.8338,0.02
2025-10-30 21:09:03,13,5,4,0.8454,0.842,0.03
2025-10-30 21:09:03,13,5,5,0.8093,0.806,0.02
2025-10-30 21:09:03,13,5,6,0.8351,0.8334,0.02
2025-10-30 21:09:03,13,5,7,0.8549,0.85,0.02
2025-10-30 21:09:03,13,5,8,0.8135,0.8115,0.02
2025-10-30 21:09:03,13,5,9,0.829,0.8279,0.03
2025-10-30 21:09:03,13,5,10,0.8601,0.858,0.03
2025-10-30 21:09:03,13,7,1,0.8093,0.8038,0.02
2025-10-30 21:09:03,13,7,2,0.8608,0.8626,0.02
2025-10-30 21:09:03,13,7,3,0.8299,0.8304,0.02
